nohup: ignoring input
/opt/conda/envs/hncgat/lib/python3.9/site-packages/torch/torch_version.py:3: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import packaging  # type: ignore[attr-defined]
Namespace(gpu=0, n_epochs=1000, lr=0.005, lamb=1, hid_dim=64, dropout=0.5, temperature=0.1, edgetype='concat', use_weighted_loss=True, weight_attention=True, weight_temperature=0.8)
1-th random split with training ratio 0.900000
Epoch 350 | Loss 7.1795 | TrainAUC 0.9807 | testAUC_ROC 0.9587 |  testAUCpr 0.7783 
Epoch 360 | Loss 7.1355 | TrainAUC 0.9817 | testAUC_ROC 0.9573 |  testAUCpr 0.7659 
Epoch 370 | Loss 7.1499 | TrainAUC 0.9814 | testAUC_ROC 0.9597 |  testAUCpr 0.7857 
Epoch 380 | Loss 7.1077 | TrainAUC 0.9820 | testAUC_ROC 0.9598 |  testAUCpr 0.7831 
Epoch 390 | Loss 7.0962 | TrainAUC 0.9823 | testAUC_ROC 0.9599 |  testAUCpr 0.7867 
Epoch 400 | Loss 7.1174 | TrainAUC 0.9821 | testAUC_ROC 0.9599 |  testAUCpr 0.7876 
Epoch 400 - Average weights - PM:0.309, PP:0.182, PF:0.508
Epoch 410 | Loss 7.0640 | TrainAUC 0.9828 | testAUC_ROC 0.9586 |  testAUCpr 0.7823 
Epoch 420 | Loss 7.0333 | TrainAUC 0.9832 | testAUC_ROC 0.9627 |  testAUCpr 0.8034 
Epoch 430 | Loss 7.0317 | TrainAUC 0.9837 | testAUC_ROC 0.9606 |  testAUCpr 0.7866 
Epoch 440 | Loss 7.0009 | TrainAUC 0.9838 | testAUC_ROC 0.9620 |  testAUCpr 0.7953 
Epoch 450 | Loss 7.0249 | TrainAUC 0.9841 | testAUC_ROC 0.9604 |  testAUCpr 0.7864 
Epoch 460 | Loss 6.9732 | TrainAUC 0.9841 | testAUC_ROC 0.9633 |  testAUCpr 0.8053 
Epoch 470 | Loss 6.9622 | TrainAUC 0.9846 | testAUC_ROC 0.9595 |  testAUCpr 0.7860 
Epoch 480 | Loss 6.9125 | TrainAUC 0.9850 | testAUC_ROC 0.9636 |  testAUCpr 0.8080 
Epoch 490 | Loss 6.9437 | TrainAUC 0.9847 | testAUC_ROC 0.9640 |  testAUCpr 0.8072 
Epoch 500 | Loss 6.9248 | TrainAUC 0.9852 | testAUC_ROC 0.9634 |  testAUCpr 0.8064 
Epoch 500 - Average weights - PM:0.312, PP:0.182, PF:0.506
Epoch 510 | Loss 6.8908 | TrainAUC 0.9851 | testAUC_ROC 0.9652 |  testAUCpr 0.8175 
Epoch 520 | Loss 6.9326 | TrainAUC 0.9848 | testAUC_ROC 0.9652 |  testAUCpr 0.8144 
Epoch 530 | Loss 6.8971 | TrainAUC 0.9853 | testAUC_ROC 0.9649 |  testAUCpr 0.8084 
Epoch 540 | Loss 6.8458 | TrainAUC 0.9859 | testAUC_ROC 0.9641 |  testAUCpr 0.8084 
Epoch 550 | Loss 6.8289 | TrainAUC 0.9862 | testAUC_ROC 0.9663 |  testAUCpr 0.8220 
Epoch 560 | Loss 6.8489 | TrainAUC 0.9859 | testAUC_ROC 0.9658 |  testAUCpr 0.8176 
Epoch 570 | Loss 6.8210 | TrainAUC 0.9863 | testAUC_ROC 0.9672 |  testAUCpr 0.8239 
Epoch 580 | Loss 6.7999 | TrainAUC 0.9867 | testAUC_ROC 0.9669 |  testAUCpr 0.8221 
Epoch 590 | Loss 6.7833 | TrainAUC 0.9872 | testAUC_ROC 0.9680 |  testAUCpr 0.8302 
Epoch 600 | Loss 6.7918 | TrainAUC 0.9867 | testAUC_ROC 0.9676 |  testAUCpr 0.8256 
Epoch 600 - Average weights - PM:0.314, PP:0.182, PF:0.504
Epoch 610 | Loss 6.7958 | TrainAUC 0.9870 | testAUC_ROC 0.9683 |  testAUCpr 0.8324 
Epoch 620 | Loss 6.7755 | TrainAUC 0.9873 | testAUC_ROC 0.9686 |  testAUCpr 0.8316 
Epoch 630 | Loss 6.7727 | TrainAUC 0.9872 | testAUC_ROC 0.9692 |  testAUCpr 0.8352 
Epoch 640 | Loss 6.7517 | TrainAUC 0.9878 | testAUC_ROC 0.9690 |  testAUCpr 0.8324 
Epoch 650 | Loss 6.7221 | TrainAUC 0.9878 | testAUC_ROC 0.9703 |  testAUCpr 0.8431 
Epoch 660 | Loss 6.7367 | TrainAUC 0.9877 | testAUC_ROC 0.9684 |  testAUCpr 0.8362 
Epoch 670 | Loss 6.7303 | TrainAUC 0.9882 | testAUC_ROC 0.9711 |  testAUCpr 0.8480 
Epoch 680 | Loss 6.7140 | TrainAUC 0.9881 | testAUC_ROC 0.9717 |  testAUCpr 0.8504 
Epoch 690 | Loss 6.7091 | TrainAUC 0.9882 | testAUC_ROC 0.9704 |  testAUCpr 0.8462 
Epoch 700 | Loss 6.6986 | TrainAUC 0.9885 | testAUC_ROC 0.9705 |  testAUCpr 0.8510 
Epoch 700 - Average weights - PM:0.320, PP:0.183, PF:0.498
